year;date;title;authors;n_authors;col_code;volume;start_page;end_page;base_url;filename
2005;2005-10-07;Flood forecasting using a fully distributed model: application of the TOPKAPI model to the Upper Xixian Catchment;Z. Liu, M. L. V. Martina, and E. Todini;3;2;9;347;364;https://hess.copernicus.org/articles/9/347/2005/;hess-9-347-2005.pdf
2005;2005-10-07;Flood forecasting using medium-range probabilistic weather prediction;B. T. Gouweleeuw, J. Thielen, G. Franchello, A. P. J. De Roo, and R. Buizza;5;0;9;365;380;https://hess.copernicus.org/articles/9/365/2005/;hess-9-365-2005.pdf
2005;2005-10-07;Cascading model uncertainty from medium range weather forecasts (10 days) through a rainfall-runoff model to flood inundation predictions within the European Flood Forecasting System (EFFS);F. Pappenberger, K. J. Beven, N. M. Hunter, P. D. Bates, B. T. Gouweleeuw, J. Thielen, and A. P. J. de Roo;7;0;9;381;393;https://hess.copernicus.org/articles/9/381/2005/;hess-9-381-2005.pdf
2005;2005-10-07;Assessing the performance of eight real-time updating models and procedures for the Brosna River;M. Goswami, K. M. O'Connor, K. P. Bhattarai, and A. Y. Shamseldin;4;0;9;394;411;https://hess.copernicus.org/articles/9/394/2005/;hess-9-394-2005.pdf
2005;2005-10-07;Utility of different data types for calibrating flood inundation models within a GLUE framework;N. M. Hunter, P. D. Bates, M. S. Horritt, A. P. J. De Roo, and M. G. F. Werner;5;0;9;412;430;https://hess.copernicus.org/articles/9/412/2005/;hess-9-412-2005.pdf
2005;2005-10-07;An empirical method for estimating future flood risks for flood warnings;H. Hlavcova, S. Kohnova, R. Kubes, J. Szolgay, and M. Zvolensky;5;0;9;431;448;https://hess.copernicus.org/articles/9/431/2005/;hess-9-431-2005.pdf
2005;2005-10-07;National flood modelling for insurance purposes: using IFSAR for flood risk estimation in Europe;R. Sanders, F. Shaw, H. MacKay, H. Galy, and M. Foote;5;bw;9;449;456;https://hess.copernicus.org/articles/9/449/2005/;hess-9-449-2005.pdf
2005;2005-10-07;Operational hydro-meteorological warning and real-time flood forecasting: the Piemonte Region case study;D. Rabuffetti and S. Barbero;2;1;9;457;466;https://hess.copernicus.org/articles/9/457/2005/;hess-9-457-2005.pdf
2005;2005-10-13;Spatial and temporal patterns of land surface fluxes from remotely sensed surface temperatures within an uncertainty modelling framework;M. F. McCabe, J. D. Kalma, and S. W. Franks;3;2;9;467;480;https://hess.copernicus.org/articles/9/467/2005/;hess-9-467-2005.pdf
2005;2005-10-13;A fast TDR-inversion technique for the reconstruction of spatial soil moisture content;S. Schlaeger;1;bw;9;481;492;https://hess.copernicus.org/articles/9/481/2005/;hess-9-481-2005.pdf
2005;2005-10-19;Transpiration of montane Pinus sylvestris L. and Quercus pubescens Willd. forest stands measured with sap flow sensors in NE Spain;R. Poyatos, P. Llorens, and F. Gallart;3;bw;9;493;505;https://hess.copernicus.org/articles/9/493/2005/;hess-9-493-2005.pdf
2005;2005-10-19;Resolving conflicting objectives in the management of the Plastiras Lake: can we quantify beauty?;A. Christofides, A. Efstratiadis, D. Koutsoyiannis, G.-F. Sargentis, and K. Hadjibiros;5;0;9;507;515;https://hess.copernicus.org/articles/9/507/2005/;hess-9-507-2005.pdf
2005;2005-10-31;Do effective properties for unsaturated weakly layered porous media exist? An experimental study;A. Bayer, H.-J. Vogel, O. Ippisch, and K. Roth;4;0;9;517;522;https://hess.copernicus.org/articles/9/517/2005/;hess-9-517-2005.pdf
2005;2005-11-07;Hydrological response to different time scales of climatological drought: an evaluation of the Standardized Precipitation Index in a mountainous Mediterranean basin;S. M. Vicente-Serrano and J. I. López-Moreno;2;1;9;523;533;https://hess.copernicus.org/articles/9/523/2005/;hess-9-523-2005.pdf
2005;2005-11-16;Development and validation of the global map of irrigation areas;S. Siebert, P. Döll, J. Hoogeveen, J.-M. Faures, K. Frenken, and S. Feick;6;0;9;535;547;https://hess.copernicus.org/articles/9/535/2005/;hess-9-535-2005.pdf
2005;2005-12-20;Multi-objective calibration of a surface water-groundwater flow model in an irrigated agricultural region: Yaqui Valley, Sonora, Mexico;G. Schoups, C. Lee Addams, and S. M. Gorelick;3;1;9;549;568;https://hess.copernicus.org/articles/9/549/2005/;hess-9-549-2005.pdf
2005;2005-12-31;Rainfall and throughfall chemistry in the Atlantic Forest: a comparison between urban and natural areas (São Paulo State, Brazil);M. C. Forti, D. C. Bicudo, C. Bourotte, V. de Cicco, and F. C. S. Arcova;5;bw;9;570;585;https://hess.copernicus.org/articles/9/570/2005/;hess-9-570-2005.pdf
2005;2005-12-31;Multi-objective calibration of the land surface scheme TERRA/LM using LITFASS-2003 data;K.-P. Johnsen, H.-T. Mengelkamp, and S. Huneke;3;1;9;586;596;https://hess.copernicus.org/articles/9/586/2005/;hess-9-586-2005.pdf
2005;2005-12-31;The impact of broadleaved woodland on water resources in lowland UK: I. Soil water changes below beech woodland and grass on chalk sites in Hampshire;J. Roberts and P. Rosier;2;bw;9;596;606;https://hess.copernicus.org/articles/9/596/2005/;hess-9-596-2005.pdf
2005;2005-12-31;The impact of broadleaved woodland on water resources in lowland UK: II. Evaporation estimates from sensible heat flux measurements over beech woodland and grass on chalk sites in Hampshire;J. Roberts, P. Rosier, and D. M. Smith;3;bw;9;607;613;https://hess.copernicus.org/articles/9/607/2005/;hess-9-607-2005.pdf
2005;2005-12-31;The impact of broadleaved woodland on water resources in lowland UK: III. The results from Black Wood and Bridgets Farm compared with those from other woodland and grassland sites;J. Roberts and P. Rosier;2;bw;9;614;620;https://hess.copernicus.org/articles/9/614/2005/;hess-9-614-2005.pdf
2005;2005-12-31;Hydrochemical heterogeneity in an upland catchment: further characterisation of the spatial, temporal and depth variations in soils, streams and groundwaters of the Plynlimon forested catchment, Wales;P. Shand, A. H. Haria, C. Neal, K. J. Griffiths, D. C. Gooddy, A. J. Dixon, T. Hill, D. K. Buckley, and J. E. Cunningham;9;0;9;621;644;https://hess.copernicus.org/articles/9/621/2005/;hess-9-621-2005.pdf
2005;2005-12-31;Lanthanum, cerium, praseodymium and yttrium in waters in an upland acidic and acid sensitive environment, mid-Wales;C. Nea;1;bw;9;645;656;https://hess.copernicus.org/articles/9/645/2005/;hess-9-645-2005.pdf
2005;2005-12-31;Water and nitrogen processes along a typical water flowpath and streamwater exports from a forested catchment and changes after clear-cutting: a modelling study;A. Laurén, L. Finér, H. Koivusalo, T. Kokkonen, T. Karvonen, S. Kellomäki, H. Mannerkoski, and M. Ahtiainen;8;bw;9;657;674;https://hess.copernicus.org/articles/9/657/2005/;hess-9-657-2005.pdf
2005;2005-12-31;Uncertainty of solute flux estimation in ungauged small streams: potential implications for input-output nutrient mass balances at stream reach scale;A. Butturini;1;bw;9;675;684;https://hess.copernicus.org/articles/9/675/2005/;hess-9-675-2005.pdf
2005;2005-12-31;High-resolution phosphorus transfers at the catchment scale: the hidden importance of non-storm transfers;P. Jordan, J. Arnscheidt, H. McGrogan, and S. McCormick;4;bw;9;685;691;https://hess.copernicus.org/articles/9/685/2005/;hess-9-685-2005.pdf
2005;2005-12-31;The role of Lake Dongting in regulating the sediment budget of the Yangtze River;Shi-bao Dai, Shi-lun Yang, Jun Zhu, Ang Gao, and Peng Li;5;bw;9;692;698;https://hess.copernicus.org/articles/9/692/2005/;hess-9-692-2005.pdf
2005;2005-12-31;Increasing silicon concentrations in Bohemian Forest lakes;J. Veselý, V. Majer, J. Kopácek, J. Safanda, and S. A. Norton;5;bw;9;699;706;https://hess.copernicus.org/articles/9/699/2005/;hess-9-699-2005.pdf
2005;2005-12-31;Light limitation of primary production in high latitude reservoirs;J. Sahlberg and L. Rahm;2;1;9;707;720;https://hess.copernicus.org/articles/9/707/2005/;hess-9-707-2005.pdf
2010;2010-01-06;Reconstructing 20th century global hydrography: a contribution to the Global Terrestrial Network- Hydrology (GTN-H);D. Wisser, B. M. Fekete, C. J. Vörösmarty, and A. H. Schumann;4;1;14;1;24;https://hess.copernicus.org/articles/14/1/2010/;hess-14-1-2010.pdf
2010;2010-01-08;Earth's Critical Zone and hydropedology: concepts, characteristics, and advances;H. Lin;1;0;14;25;45;https://hess.copernicus.org/articles/14/25/2010/;hess-14-25-2010.pdf
2010;2010-01-11;Actual daily evapotranspiration estimated from MERIS and AATSR data over the Chinese Loess Plateau;R. Liu, J. Wen, X. Wang, L. Wang, H. Tian, T. T. Zhang, X. K. Shi, J. H. Zhang, and SH. N. Lv;9;1;14;47;58;https://hess.copernicus.org/articles/14/47/2010/;hess-14-47-2010.pdf
2010;2010-01-11;Calibration analysis for water storage variability of the global hydrological model WGHM;S. Werth and A. Güntner;2;1;14;59;78;https://hess.copernicus.org/articles/14/59/2010/;hess-14-59-2010.pdf
2010;2010-01-14;The contribution of groundwater discharge to the overall water budget of two typical Boreal lakes in Alberta/Canada estimated from a radon mass balance;A. Schmidt, J. J. Gibson, I. R. Santos, M. Schubert, K. Tattrie, and H. Weiss;6;bw;14;79;89;https://hess.copernicus.org/articles/14/79/2010/;hess-14-79-2010.pdf
2010;2010-01-18;Thermal conductivity of unsaturated clay-rocks;D. Jougnot and A. Revil;2;bw;14;91;98;https://hess.copernicus.org/articles/14/91/2010/;hess-14-91-2010.pdf
2010;2010-01-18;Multi-model comparison of a major flood in the groundwater-fed basin of the Somme River (France);F. Habets, S. Gascoin, S. Korkmaz, D. Thiéry, M. Zribi, N. Amraoui, M. Carli, A. Ducharne, E. Leblois, E. Ledoux, E. Martin, J. Noilhan, C. Ottlé, and P. Viennot;14;0;14;99;117;https://hess.copernicus.org/articles/14/99/2010/;hess-14-99-2010.pdf
2010;2010-01-18;The water footprint of Indonesian provinces related to the consumption of crop products;F. Bulsink, A. Y. Hoekstra, and M. J. Booij;3;0;14;119;128;https://hess.copernicus.org/articles/14/119/2010/;hess-14-119-2010.pdf
2010;2010-01-21;Characteristics of 2-D convective structures in Catalonia (NE Spain): an analysis using radar data and GIS;M. Barnolas, T. Rigo, and M. C. Llasat;3;1;14;129;139;https://hess.copernicus.org/articles/14/129/2010/;hess-14-129-2010.pdf
2010;2010-01-22;Soil moisture active and passive microwave products: intercomparison and evaluation over a Sahelian site;C. Gruhier, P. de Rosnay, S. Hasenauer, T. Holmes, R. de Jeu, Y. Kerr, E. Mougin, E. Njoku, F. Timouk, W. Wagner, and M. Zribi;11;2;14;141;156;https://hess.copernicus.org/articles/14/141/2010/;hess-14-141-2010.pdf
2010;2010-01-27;Climate and terrain factors explaining streamflow response and recession in Australian catchments;A. I. J. M. van Dijk;1;bw;14;159;169;https://hess.copernicus.org/articles/14/159/2010/;hess-14-159-2010.pdf
2010;2010-02-02;Assessment of conceptual model uncertainty for the regional aquifer Pampa del Tamarugal – North Chile;R. Rojas, O. Batelaan, L. Feyen, and A. Dassargues;4;0;14;171;192;https://hess.copernicus.org/articles/14/171/2010/;hess-14-171-2010.pdf
2010;2010-02-05;Relating surface backscatter response from TRMM precipitation radar to soil moisture: results over a semi-arid region;H. Stephen, S. Ahmad, T. C. Piechota, and C. Tang;4;2;14;193;204;https://hess.copernicus.org/articles/14/193/2010/;hess-14-193-2010.pdf
2010;2010-02-05;Performance of high-resolution X-band radar for rainfall measurement in The Netherlands;C. Z. van de Beek, H. Leijnse, J. N. M. Stricker, R. Uijlenhoet, and H. W. J. Russchenberg;5;2;14;205;221;https://hess.copernicus.org/articles/14/205/2010/;hess-14-205-2010.pdf
2010;2010-02-08;Modelling the inorganic nitrogen behaviour in a small Mediterranean forested catchment, Fuirosos (Catalonia);C. Medici, S. Bernal, A. Butturini, F. Sabater, M. Martin, A. J. Wade, and F. Frances;7;0;14;223;237;https://hess.copernicus.org/articles/14/223/2010/;hess-14-223-2010.pdf
2010;2010-02-08;Soil bioengineering for risk mitigation and environmental restoration in a humid tropical area;A. Petrone and F. Preti;2;0;14;239;250;https://hess.copernicus.org/articles/14/239/2010/;hess-14-239-2010.pdf
2010;2010-02-09;Uncertainty in the determination of soil hydraulic parameters and its influence on the performance of two hydrological models of different complexity;G. Baroni, A. Facchi, C. Gandolfi, B. Ortuani, D. Horeschi, and J. C. van Dam;6;bw;14;251;270;https://hess.copernicus.org/articles/14/251/2010/;hess-14-251-2010.pdf
2010;2010-02-12;Technical Note: Comparing and ranking soil drought indices performance over Europe, through remote-sensing of vegetation;E. Peled, E. Dutra, P. Viterbo, and A. Angert;4;2;14;271;277;https://hess.copernicus.org/articles/14/271/2010/;hess-14-271-2010.pdf
2010;2010-02-12;Implementing small scale processes at the soil-plant interface – the role of root architectures for calculating root water uptake profiles;C. L. Schneider, S. Attinger, J.-O. Delfs, and A. Hildebrandt;4;0;14;279;289;https://hess.copernicus.org/articles/14/279/2010/;hess-14-279-2010.pdf
2010;2010-02-12;Increase in surface runoff in the central mountains of Mexico: lessons from the past and predictive scenario for the next century;N. Gratiot, C. Duvert, L. Collet, D. Vinson, J. Némery, and C. Sáenz-Romero;6;bw;14;291;300;https://hess.copernicus.org/articles/14/291/2010/;hess-14-291-2010.pdf
2010;2010-02-15;Forest decline caused by high soil water conditions in a permafrost region;H. Iwasaki, H. Saito, K. Kuwao, T. C. Maximov, and S. Hasegawa;5;0;14;301;307;https://hess.copernicus.org/articles/14/301/2010/;hess-14-301-2010.pdf
2010;2010-02-16;Less rain, more water in ponds: a remote sensing study of the dynamics of surface waters from 1950 to present in pastoral Sahel (Gourma region, Mali);J. Gardelle, P. Hiernaux, L. Kergoat, and M. Grippa;4;1;14;309;324;https://hess.copernicus.org/articles/14/309/2010/;hess-14-309-2010.pdf
